CAS;Tipo_olor;Descriptor_1;Descriptor_2;Fuerza_Olor;Clacificacion;Presion_vapor;Area;Fuerza;smiles;nomenclature;Molecule
1222-05-5;musk;floral;dulce;medio;aromatizante;0.000414;3.3607;0.3;CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C;4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1222-05-5;musk;floral;dulce;medio;aromatizante;0.000414;3.3607;0.3;CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C;4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
118-58-1;balsamico;limpio;herbal;bajo;aromatizante;0.00017;3.4749;0.15;Oc1ccccc1C(=O)OCc2ccccc2;Phenylmethyl 2-hydroxybenzoate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1222-05-5;musk;floral;dulce;medio;aromatizante;0.000414;3.3607;0.3;CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C;4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1222-05-5;musk;floral;dulce;medio;aromatizante;0.000414;3.3607;0.3;CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C;4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1222-05-5;musk;floral;dulce;medio;aromatizante;0.000414;3.3607;0.3;CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C;4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1222-05-5;musk;floral;dulce;medio;aromatizante;0.000414;3.3607;0.3;CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C;4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
31458-16-9;ND;0;0;0;0;0;0.0268;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000401-77-6;ND;0;0;0;0;0;0.0108;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000432-48-9;ND;0;0;0;0;0;0.2036;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
105-95-3;musk;polvoroso;amaderado;medio;aromatizante;0;2.4402;0.3;O=C1CCCCCCCCCCCC(=O)OCCO1;1,4-Dioxacycloheptadecane-5,17-dione;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000331-51-3;ND;0;0;0;0;0;0.0135;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
5466-77-3;ND;0;0;0;filtro;0;2.4985;0.1;CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1;['2-ethylhexyl 3-(4-methoxyphenyl)prop-2-enoate', '2-ethylhexyl (E)-3-(4-methoxyphenyl)prop-2-enoate'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
70356-09-1;ND;0;0;0;filtro;0;0.3591;0.1;COc1ccc(cc1)C(=O)CC(=O)c2ccc(cc2)C(C)(C)C;1-(4-tert-butylphenyl)-3-(4-methoxyphenyl)propane-1,3-dione;"<img data-content=""rdkit/molecule"" src=""data:image/png"
