CAS;Tipo_olor;Descriptor_1;Descriptor_2;Fuerza_Olor;Clacificacion;Presion_vapor;Area;Fuerza;smiles;nomenclature;Molecule
1000430-72-3;ND;0;0;0;0;0;1.4549;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
93-92-5;verde;herbal;gardenia;medio;aromatizante;0.203;0.2657;0.3;CC(OC(C)=O)c1ccccc1;1-Phenylethyl acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1070-71-9;ND;0;0;0;0;0;0.0232;0.1;C#CC#N;prop-2-ynenitrile;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000430-72-3;ND;0;0;0;0;0;1.4549;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
542-10-9;ND;0;0;0;No utilizada en fragancias;0;0.077;0.1;CC(OC(C)=O)OC(C)=O;1-acetyloxyethyl acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
75-24-1;ND;0;0;0;0;0;0.4113;0.1;C[Al](C)C;trimethylalumane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1110651;ND;0;0;0;0;0;2.7589;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000447-36-7;ND;0;0;0;0;0;0.8577;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
106-22-9;floral;dulce;fresco;medio;aromatizante;0.02;0.1916;0.3;C[C@@H](CCO)CCC=C(C)C;(3R)-3,7-dimethyloct-6-en-1-ol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
625-28-5;ND;0;0;0;sustancia natural;1.1198;0.9471;0.1;CC(C)CC#N;3-methylbutanenitrile;"<img data-content=""rdkit/molecule"" src=""data:image/png"
115-95-7;herbal;dulce;citrico;medio;aromatizante;0.116;2.7335;0.3;CC(C)=CCCC(C)(OC(C)=O)C=C;3,7-dimethylocta-1,6-dien-3-yl acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
123-11-5;anis;dulce;vainilla;medio;aromatizante;1;0.0538;0.3;COc1ccc(C=O)cc1;4-Methoxybenzaldehyde;"<img data-content=""rdkit/molecule"" src=""data:image/png"
343947-11-5;ND;0;0;0;0;0;0.3393;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
141-27-5;citrico;limon;0;medio;aromatizante;0.071;0.0178;0.3;CC(C)=CCC\C(C)=C\C=O;['(2E)-3,7-dimethylocta-2,6-dienal', '3,7-dimethylocta-2,6-dienal'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
1900-69-2;maderoso;0;0;medio;aromatizante;0.103;0.7556;0.3;CC(=O)OC1CCC(CC1)C(C)(C)C;(4-tert-butylcyclohexyl) acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
88-41-5;frutal;manzana verde;amaderado;medio;disolvente aromatizante;0.103;0.7865;0.3;CC(=O)OC1CCCCC1C(C)(C)C;(2-tert-butylcyclohexyl) acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
103-05-9;floral;limpio;fresco;medio;aromatizante;0.098;1.0987;0.3;CC(C)(O)CCc1ccccc1;2-Methyl-4-phenylbutan-2-ol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1203-17-4;ND;0;0;0;no utilizada en fragancias;0;0.0244;0.1;CC1C(C)(C)c2ccccc2C1(C)C;1,1,2,3,3-pentamethyl-2H-indene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
34598-80-6;ND;0;0;0;0;0;0.0229;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
20780-49-8;ceroso;fresco;limpio;medio;aromatizante;0.104;0.1967;0.3;CC(C)CCCC(C)CCOC(C)=O;3,7-Dimethyloctyl acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
20298-69-5;frutal;fresco;bergamota;medio;aromatizante;0.103;0.1034;0.3;CC(=O)O[C@@H]1CCCC[C@@H]1C(C)(C)C;[(1R,2R)-2-tert-butylcyclohexyl] acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
151-05-3;floral;dulce;rosa;medio;aromatizante;0.05;0.7345;0.3;CC(=O)OC(C)(C)Cc1ccccc1;(2-methyl-1-phenylpropan-2-yl) acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
